time [s] ,T [C] ,p-p_amb [bar] ,v_CH4 [slm] ,v_CO2 [slm] ,v_Ar [slm] ,x_H2 [%] ,x_CO2 [%] ,x_CO [%] ,x_O2 [%] ,x_CH4 [%] ,Ar MFC sp [slm],CH4 MFC sp [slm],CO2 MFC sp [slm]
0.0,929.250479,0.032287,0.0,0.0,0.500198,-0.14772844218048387,0.000179,-0.002558,-0.003164,-0.000909,0.5,0.0,0.0
0.228651,929.250479,0.032287,0.0,0.0,0.500198,-0.14774205523497594,0.000179,-0.002558,-0.003164,-0.000909,0.5,0.0,0.0
1.229534,929.250479,0.032539,0.0,0.0,0.499714,-0.1510271682184063,0.000179,-0.002968,-0.002652,-0.001217,0.5,0.0,0.0
2.228615,929.262116,0.032979,0.0,0.0,0.500899,-0.15385315161907914,0.000179,-0.002558,-0.002139,-0.000909,0.5,0.0,0.0
3.22895,929.25693,0.0334,0.0,0.0,0.499461,-0.1526220740374,-2.579813e-05,-0.002353,-0.003677,-0.000807,0.5,0.0,0.0
4.230336,929.25693,0.033044,0.0,0.0,0.500282,-0.15468741245431336,-0.001051,-0.002558,-0.005726,-0.001012,0.5,0.0,0.0
5.229528,929.264785,0.033771,0.0,0.0,0.499909,-0.15095750874914618,0.000179,-0.002763,-0.004189,-0.000909,0.5,0.0,0.0
6.228533,929.251304,0.033444,0.0,0.0,0.500452,-0.15142485777249165,0.000179,-0.002763,-0.003164,-0.000909,0.5,0.0,0.0
7.229668,929.25617,0.032926,0.0,0.0,0.501116,-0.15057620548892567,0.000179,-0.002353,-0.003677,-0.000602,0.5,0.0,0.0
8.228994,929.25617,0.033391,0.0,0.0,0.500127,-0.15101894690683468,0.000179,-0.002558,-0.004189,-0.001012,0.5,0.0,0.0
9.22856,929.264654,0.033569,0.0,0.0,0.499893,-0.14972890970786598,0.000179,-0.002148,-0.002652,-0.000704,0.5,0.0,0.0
10.228781,929.255058,0.033647,0.0,0.0,0.499461,-0.15059051827891387,-2.579813e-05,-0.002763,-0.003677,-0.000704,0.5,0.0,0.0
11.229008,929.245593,0.032758,0.0,0.0,0.50036,-0.15097182699908349,-2.579813e-05,-0.002968,-0.002652,-0.000909,0.5,0.0,0.0
12.228938,929.245593,0.033653,0.0,0.0,0.499215,-0.1497657201646038,0.000179,-0.003173,-0.003677,-0.001012,0.5,0.0,0.0
13.228973,929.253256,0.033225,0.0,0.0,0.499647,-0.14938408181503574,0.000589,-0.002148,-0.001627,-0.000602,0.5,0.0,0.0
14.228783,929.24111,0.033437,0.0,0.0,0.499559,-0.14817051928298358,-2.579813e-05,-0.002558,-0.004701,-0.001012,0.5,0.0,0.0
15.228814,929.263105,0.034022,0.0,0.0,0.501142,-0.15093908518865862,0.000589,-0.002763,-0.003164,-0.000499,0.5,0.0,0.0
16.228643,929.244203,0.032682,0.0,0.0,0.500523,-0.15223045722850334,0.000589,-0.002968,-0.004189,-0.000807,0.5,0.0,0.0
17.228742,929.244203,0.032804,0.0,0.0,0.500205,-0.14525852,0.000589,-0.002148,-0.003164,-0.000807,0.5,0.0,0.0
18.229233,929.259208,0.033159,0.0,0.0,0.49943,-0.14770924141212938,-2.579813e-05,-0.002148,-0.002652,-0.000807,0.5,0.0,0.0
19.22856,929.245729,0.033114,0.0,0.0,0.500473,-0.15218131986479455,-0.000231,-0.002353,-0.004701,-0.000602,0.5,0.0,0.0
